elementcd,enddate,ordinal,storedunitcd,element_name,dataprecision,stationtriplet,begindate,duration,originalunitcd,datasource,flag,value,date,snowyeardate,snowyear,nthdayofyear
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,E,0.0,2004-10-01,2004-01-02,2004,1
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,E,0.0,2004-10-02,2004-01-03,2004,2
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,E,0.0,2004-10-03,2004-01-04,2004,3
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,E,0.0,2004-10-04,2004-01-05,2004,4
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,E,0.0,2004-10-05,2004-01-06,2004,5
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,E,0.0,2004-10-06,2004-01-07,2004,6
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,E,0.0,2004-10-07,2004-01-08,2004,7
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,E,0.0,2004-10-08,2004-01-09,2004,8
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,E,0.0,2004-10-09,2004-01-10,2004,9
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,E,0.0,2004-10-10,2004-01-11,2004,10
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,E,0.0,2004-10-11,2004-01-12,2004,11
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,E,0.0,2004-10-12,2004-01-13,2004,12
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,E,0.0,2004-10-13,2004-01-14,2004,13
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,E,0.0,2004-10-14,2004-01-15,2004,14
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,E,0.0,2004-10-15,2004-01-16,2004,15
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,E,0.0,2004-10-16,2004-01-17,2004,16
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,E,0.0,2004-10-17,2004-01-18,2004,17
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,E,5.0,2004-10-18,2004-01-19,2004,18
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,1.0,2004-10-19,2004-01-20,2004,19
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,3.0,2004-10-20,2004-01-21,2004,20
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,2.0,2004-10-21,2004-01-22,2004,21
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,1.0,2004-10-22,2004-01-23,2004,22
SNWD,2100-01-01 00:00:00,1,in,SNOW DEPTH,0,1010:OR:SNTL,2001-09-04 08:00:00,DAILY,in,OBSERVED,V,1.0,2004-10-23,2004-01-24,2004,23
